Model,Scenario,Number_of_EVs,EV_No,Arrival,Depart,EV_Type,BatteryCapacity,Distance,Demand,Alloc_charger,Delay
FCFS,949,30,18,9.0,23.0,SUV,54,31.513,18.0,19,0
FCFS,949,30,19,9.0,16.0,Small,16,17.56,7.0,8,0
FCFS,949,30,20,9.0,21.0,Small,16,42.5,16,8,0
FCFS,949,30,21,9.0,19.0,Small,16,38.386,15.0,8,0
FCFS,949,30,22,9.0,17.0,Small,16,33.704,13.0,8,0
FCFS,949,30,23,9.0,17.0,Small,16,45.966,16,8,0
FCFS,949,30,24,10.0,21.0,Sedan,24,32.945,14.0,19,0
FCFS,949,30,25,10.0,19.0,SUV,54,56.405,32.0,19,0
FCFS,949,30,26,10.0,19.0,Truck,70,44.204,36.0,8,0
FCFS,949,30,27,10.0,18.0,SUV,54,64.435,37.0,19,0
FCFS,949,30,28,10.0,22.0,Small,16,52.081,16,8,0
FCFS,949,30,29,11.0,18.0,Sedan,24,29.71,13.0,8,0
FCFS,949,30,30,13.0,18.0,Small,16,51.823,16,8,0
FCFS,950,30,1,4.0,17.0,Small,16,25.392,10.0,8,0
FCFS,950,30,2,6.0,18.0,Small,16,33.895,13.0,8,0
FCFS,950,30,3,8.0,19.0,SUV,54,18.961,11.0,19,0
FCFS,950,30,4,8.0,22.0,Small,16,8.742,3.0,4,0
FCFS,950,30,5,8.0,18.0,SUV,54,55.02,32.0,19,0
FCFS,950,30,6,8.0,23.0,Sedan,24,46.585,20.0,8,0
FCFS,950,30,7,8.0,22.0,Small,16,27.842,11.0,4,0
FCFS,950,30,8,8.0,18.0,Sedan,24,46.1,20.0,19,0
FCFS,950,30,9,8.0,19.0,Small,16,26.206,10.0,8,0
FCFS,950,30,10,8.0,20.0,Small,16,31.885,12.0,19,0
FCFS,950,30,11,8.0,18.0,Small,16,33.122,13.0,8,0
FCFS,950,30,12,8.0,20.0,Small,16,71.938,16,4,0
FCFS,950,30,13,8.0,20.0,Small,16,53.783,16,8,0
FCFS,950,30,14,9.0,16.0,Sedan,24,6.073,3.0,4,0
FCFS,950,30,15,9.0,17.0,SUV,54,20.645,12.0,19,0
FCFS,950,30,16,9.0,22.0,Sedan,24,25.618,11.0,4,0
FCFS,950,30,17,9.0,20.0,SUV,54,51.614,30.0,19,0
FCFS,950,30,18,9.0,22.0,Sedan,24,34.542,15.0,19,0
FCFS,950,30,19,9.0,21.0,Sedan,24,51.534,22.0,19,0
FCFS,950,30,20,9.0,20.0,Sedan,24,55.607,24.0,8,0
FCFS,950,30,21,9.0,19.0,Small,16,59.771,16,8,0
FCFS,950,30,22,10.0,19.0,SUV,54,30.252,17.0,19,0
FCFS,950,30,23,10.0,18.0,Sedan,24,45.067,19.0,19,0
FCFS,950,30,24,10.0,17.0,Sedan,24,39.144,17.0,19,0
FCFS,950,30,25,10.0,20.0,Small,16,53.881,16,4,0
FCFS,950,30,26,10.0,20.0,Small,16,44.79,16,19,0
FCFS,950,30,27,11.0,19.0,Sedan,24,73.372,24,8,0
FCFS,950,30,28,11.0,20.0,Small,16,53.008,16,4,0
FCFS,950,30,29,12.0,19.0,Sedan,24,51.774,22.0,8,0
FCFS,950,30,30,12.0,18.0,Small,16,29.103,11.0,19,0
FCFS,951,30,1,3.0,19.0,Truck,70,30.03,25.0,19,0
FCFS,951,30,2,3.0,20.0,Sedan,24,49.225,21.0,19,0
FCFS,951,30,3,5.0,17.0,SUV,54,29.975,17.0,19,0
FCFS,951,30,4,6.0,19.0,SUV,54,20.946,12.0,8,0
FCFS,951,30,5,6.0,21.0,Truck,70,36.394,30.0,19,0
FCFS,951,30,6,6.0,23.0,Sedan,24,33.164,14.0,19,0
FCFS,951,30,7,7.0,24.0,Small,16,24.866,9.0,8,0
FCFS,951,30,8,7.0,17.0,Small,16,25.616,10.0,8,0
FCFS,951,30,9,7.0,20.0,Small,16,45.047,16,8,0
FCFS,951,30,10,8.0,18.0,SUV,54,19.508,11.0,8,0
FCFS,951,30,11,8.0,18.0,Sedan,24,22.019,9.0,19,0
FCFS,951,30,12,8.0,19.0,Truck,70,35.759,29.0,19,0
FCFS,951,30,13,8.0,24.0,Sedan,24,36.519,16.0,8,0
FCFS,951,30,14,8.0,21.0,Small,16,20.033,8.0,8,0
FCFS,951,30,15,8.0,17.0,Sedan,24,34.089,15.0,19,0
FCFS,951,30,16,8.0,20.0,Small,16,26.52,10.0,8,0
FCFS,951,30,17,9.0,22.0,SUV,54,13.28,8.0,8,0
FCFS,951,30,18,9.0,20.0,SUV,54,58.182,33.0,19,0
FCFS,951,30,19,9.0,21.0,Small,16,17.261,7.0,19,0
FCFS,951,30,20,9.0,19.0,Sedan,24,65.458,24,8,0
FCFS,951,30,21,9.0,22.0,Small,16,54.202,16,8,0
FCFS,951,30,22,9.0,17.0,Sedan,24,56.263,24,19,0
FCFS,951,30,23,10.0,19.0,SUV,54,52.85,30.0,8,0
FCFS,951,30,24,10.0,18.0,Truck,70,38.731,32.0,19,0
FCFS,951,30,25,10.0,19.0,Sedan,24,52.816,23.0,8,0
FCFS,951,30,26,10.0,17.0,Sedan,24,51.344,22.0,19,0
FCFS,951,30,27,10.0,16.0,Small,16,50.818,16,8,0
FCFS,951,30,28,11.0,19.0,Sedan,24,60.11,24,19,0
FCFS,951,30,29,11.0,21.0,Small,16,46.916,16,8,0
FCFS,951,30,30,12.0,23.0,Small,16,41.633,16.0,8,0
FCFS,952,30,1,5.0,19.0,Sedan,24,30.0,13.0,8,0
FCFS,952,30,2,6.0,18.0,SUV,54,37.352,21.0,19,0
FCFS,952,30,3,6.0,17.0,Small,16,54.214,16,8,0
FCFS,952,30,4,7.0,20.0,Small,16,8.378,3.0,8,0
FCFS,952,30,5,7.0,19.0,Small,16,9.357,4.0,4,0
FCFS,952,30,6,7.0,23.0,Sedan,24,53.275,23.0,19,0
FCFS,952,30,7,7.0,19.0,Sedan,24,48.238,21.0,8,0
FCFS,952,30,8,7.0,17.0,Sedan,24,46.339,20.0,19,0
FCFS,952,30,9,7.0,21.0,Small,16,34.524,13.0,4,0
FCFS,952,30,10,8.0,17.0,SUV,54,21.526,12.0,19,0
FCFS,952,30,11,8.0,22.0,SUV,54,64.392,37.0,19,0
FCFS,952,30,12,8.0,19.0,Small,16,18.468,7.0,19,0
FCFS,952,30,13,8.0,23.0,Small,16,77.41,16,8,0
FCFS,952,30,14,9.0,20.0,Sedan,24,21.481,9.0,19,0
FCFS,952,30,15,9.0,21.0,Small,16,12.466,5.0,8,0
FCFS,952,30,16,9.0,17.0,SUV,54,46.534,27.0,19,0
FCFS,952,30,17,9.0,18.0,Sedan,24,29.914,13.0,8,0
FCFS,952,30,18,9.0,22.0,Small,16,27.025,10.0,8,0
FCFS,952,30,19,9.0,20.0,Small,16,30.116,11.0,4,0
FCFS,952,30,20,10.0,21.0,Sedan,24,50.659,22.0,19,0
FCFS,952,30,21,10.0,17.0,Sedan,24,47.584,20.0,19,0
FCFS,952,30,22,10.0,20.0,Small,16,33.134,13.0,8,0
FCFS,952,30,23,10.0,20.0,Small,16,43.902,16,19,0
FCFS,952,30,24,10.0,18.0,Small,16,59.842,16,8,0
FCFS,952,30,25,12.0,18.0,Truck,70,41.45,34.0,19,0
FCFS,952,30,26,12.0,20.0,Sedan,24,76.322,24,8,0
FCFS,952,30,27,12.0,19.0,Small,16,25.255,10.0,4,0
FCFS,952,30,28,13.0,21.0,SUV,54,15.455,9.0,19,0
FCFS,952,30,29,14.0,18.0,Small,16,74.792,16,8,0
FCFS,952,30,30,15.0,19.0,Sedan,24,55.305,24.0,19,0
FCFS,953,30,1,4.0,21.0,SUV,54,59.631,34.0,19,0
FCFS,953,30,2,6.0,19.0,SUV,54,20.079,12.0,19,0
FCFS,953,30,3,6.0,23.0,Sedan,24,34.635,15.0,19,0
FCFS,953,30,4,6.0,19.0,Sedan,24,31.108,13.0,19,0
FCFS,953,30,5,6.0,18.0,Sedan,24,37.133,16.0,19,0
FCFS,953,30,6,6.0,21.0,Small,16,51.408,16,19,0
FCFS,953,30,7,7.0,19.0,Sedan,24,13.191,6.0,4,0
FCFS,953,30,8,7.0,18.0,Small,16,10.712,4.0,8,0
FCFS,953,30,9,7.0,17.0,Truck,70,27.518,23.0,19,0
FCFS,953,30,10,8.0,23.0,Sedan,24,40.942,18.0,19,0
FCFS,953,30,11,8.0,22.0,Sedan,24,62.102,24,19,0
FCFS,953,30,12,9.0,18.0,SUV,54,23.902,14.0,19,0
FCFS,953,30,13,9.0,21.0,SUV,54,40.178,23.0,8,0
FCFS,953,30,14,9.0,20.0,SUV,54,42.543,24.0,19,0
FCFS,953,30,15,9.0,18.0,Small,16,9.665,4.0,4,0
FCFS,953,30,16,9.0,23.0,Sedan,24,39.632,17.0,19,0
FCFS,953,30,17,9.0,18.0,Truck,70,66.551,54.0,19,0
FCFS,953,30,18,9.0,19.0,Sedan,24,62.624,24,19,0
FCFS,953,30,19,9.0,18.0,Small,16,42.601,16,4,0
FCFS,953,30,20,10.0,20.0,Truck,70,36.115,30.0,19,0
FCFS,953,30,21,10.0,20.0,SUV,54,51.409,30.0,19,0
FCFS,953,30,22,10.0,19.0,SUV,54,55.679,32.0,19,0
FCFS,953,30,23,10.0,22.0,Small,16,49.613,16,8,0
FCFS,953,30,24,10.0,18.0,Small,16,45.618,16,19,0
FCFS,953,30,25,11.0,22.0,Sedan,24,33.683,14.0,4,0
FCFS,953,30,26,11.0,23.0,Small,16,17.636,7.0,19,0
FCFS,953,30,27,11.0,20.0,SUV,54,64.441,37.0,19,0
FCFS,953,30,28,12.0,22.0,Small,16,48.174,16,8,0
FCFS,953,30,29,12.0,18.0,Sedan,24,59.393,24,19,0
FCFS,953,30,30,13.0,19.0,SUV,54,34.855,20.0,19,0
FCFS,954,30,1,4.0,17.0,Small,16,35.808,14.0,19,0
FCFS,954,30,2,5.0,21.0,SUV,54,10.502,6.0,19,0
FCFS,954,30,3,6.0,23.0,Truck,70,38.249,31.0,19,0
FCFS,954,30,4,6.0,18.0,Sedan,24,31.805,14.0,8,0
FCFS,954,30,5,6.0,23.0,Truck,70,74.458,61.0,19,0
FCFS,954,30,6,7.0,17.0,Small,16,10.244,4.0,8,0
FCFS,954,30,7,7.0,22.0,Sedan,24,43.769,19.0,19,0
FCFS,954,30,8,7.0,20.0,Sedan,24,42.59,18.0,19,0
FCFS,954,30,9,7.0,21.0,Small,16,37.072,14.0,19,0
FCFS,954,30,10,7.0,18.0,Small,16,45.228,16,8,0
FCFS,954,30,11,8.0,18.0,Sedan,24,28.329,12.0,19,0
FCFS,954,30,12,8.0,20.0,Sedan,24,34.324,15.0,19,0
FCFS,954,30,13,8.0,20.0,Sedan,24,49.477,21.0,19,0
FCFS,954,30,14,8.0,20.0,Small,16,48.568,16,19,0
FCFS,954,30,15,8.0,18.0,Small,16,54.349,16,19,0
FCFS,954,30,16,9.0,20.0,Truck,70,9.335,8.0,8,0
FCFS,954,30,17,9.0,22.0,SUV,54,44.285,25.0,19,0
FCFS,954,30,18,9.0,18.0,Small,16,9.796,4.0,8,0
FCFS,954,30,19,9.0,19.0,Truck,70,39.884,33.0,19,0
FCFS,954,30,20,9.0,21.0,Truck,70,67.791,55.0,8,0
FCFS,954,30,21,10.0,19.0,SUV,54,26.549,15.0,19,0
FCFS,954,30,22,10.0,20.0,SUV,54,64.676,37.0,19,0
FCFS,954,30,23,10.0,16.0,SUV,54,40.874,23.0,19,0
FCFS,954,30,24,10.0,20.0,Sedan,24,50.997,22.0,19,0
FCFS,954,30,25,10.0,21.0,Small,16,51.886,16,19,0
FCFS,954,30,26,11.0,20.0,Truck,70,52.482,43.0,19,0
FCFS,954,30,27,11.0,20.0,Small,16,26.992,10.0,19,0
FCFS,954,30,28,11.0,20.0,Small,16,33.361,13.0,19,0
FCFS,954,30,29,12.0,20.0,Sedan,24,38.697,17.0,19,0
FCFS,954,30,30,13.0,21.0,Sedan,24,41.527,18.0,19,0
FCFS,955,30,1,2.0,24.0,Small,16,25.651,10.0,8,0
FCFS,955,30,2,4.0,19.0,Small,16,9.988,4.0,8,0
FCFS,955,30,3,5.0,19.0,Sedan,24,44.502,19.0,8,0
FCFS,955,30,4,6.0,22.0,Truck,70,12.435,10.0,8,0
FCFS,955,30,5,6.0,21.0,Truck,70,32.937,27.0,8,0
FCFS,955,30,6,6.0,20.0,SUV,54,64.667,37.0,19,0
FCFS,955,30,7,6.0,22.0,Sedan,24,69.061,24,8,0
FCFS,955,30,8,6.0,17.0,Small,16,25.461,10.0,8,0
FCFS,955,30,9,6.0,17.0,Small,16,52.762,16,8,0
FCFS,955,30,10,7.0,19.0,SUV,54,58.924,34.0,19,0
FCFS,955,30,11,7.0,19.0,Sedan,24,49.559,21.0,19,0
FCFS,955,30,12,7.0,19.0,Small,16,33.434,13.0,8,0
FCFS,955,30,13,8.0,18.0,Sedan,24,17.495,8.0,8,0
FCFS,955,30,14,8.0,19.0,Small,16,20.498,8.0,8,0
FCFS,955,30,15,8.0,20.0,Small,16,34.802,13.0,8,0
FCFS,955,30,16,8.0,21.0,Small,16,49.823,16,8,0
FCFS,955,30,17,8.0,17.0,Small,16,38.755,15.0,8,0
FCFS,955,30,18,9.0,23.0,SUV,54,31.513,18.0,19,0
FCFS,955,30,19,9.0,16.0,Small,16,17.56,7.0,8,0
FCFS,955,30,20,9.0,21.0,Small,16,42.5,16,8,0
FCFS,955,30,21,9.0,19.0,Small,16,38.386,15.0,8,0
FCFS,955,30,22,9.0,17.0,Small,16,33.704,13.0,8,0
FCFS,955,30,23,9.0,17.0,Small,16,45.966,16,8,0
FCFS,955,30,24,10.0,21.0,Sedan,24,32.945,14.0,19,0
FCFS,955,30,25,10.0,19.0,SUV,54,56.405,32.0,19,0
FCFS,955,30,26,10.0,19.0,Truck,70,44.204,36.0,8,0
FCFS,955,30,27,10.0,18.0,SUV,54,64.435,37.0,19,0
FCFS,955,30,28,10.0,22.0,Small,16,52.081,16,8,0
FCFS,955,30,29,11.0,18.0,Sedan,24,29.71,13.0,8,0
FCFS,955,30,30,13.0,18.0,Small,16,51.823,16,8,0
FCFS,956,30,1,4.0,17.0,Small,16,25.392,10.0,8,0
FCFS,956,30,2,6.0,18.0,Small,16,33.895,13.0,8,0
FCFS,956,30,3,8.0,19.0,SUV,54,18.961,11.0,19,0
FCFS,956,30,4,8.0,22.0,Small,16,8.742,3.0,4,0
FCFS,956,30,5,8.0,18.0,SUV,54,55.02,32.0,19,0
FCFS,956,30,6,8.0,23.0,Sedan,24,46.585,20.0,8,0
FCFS,956,30,7,8.0,22.0,Small,16,27.842,11.0,4,0
FCFS,956,30,8,8.0,18.0,Sedan,24,46.1,20.0,19,0
FCFS,956,30,9,8.0,19.0,Small,16,26.206,10.0,8,0
FCFS,956,30,10,8.0,20.0,Small,16,31.885,12.0,19,0
FCFS,956,30,11,8.0,18.0,Small,16,33.122,13.0,8,0
FCFS,956,30,12,8.0,20.0,Small,16,71.938,16,4,0
FCFS,956,30,13,8.0,20.0,Small,16,53.783,16,8,0
FCFS,956,30,14,9.0,16.0,Sedan,24,6.073,3.0,4,0
FCFS,956,30,15,9.0,17.0,SUV,54,20.645,12.0,19,0
FCFS,956,30,16,9.0,22.0,Sedan,24,25.618,11.0,4,0
FCFS,956,30,17,9.0,20.0,SUV,54,51.614,30.0,19,0
FCFS,956,30,18,9.0,22.0,Sedan,24,34.542,15.0,19,0
FCFS,956,30,19,9.0,21.0,Sedan,24,51.534,22.0,19,0
FCFS,956,30,20,9.0,20.0,Sedan,24,55.607,24.0,8,0
FCFS,956,30,21,9.0,19.0,Small,16,59.771,16,8,0
FCFS,956,30,22,10.0,19.0,SUV,54,30.252,17.0,19,0
FCFS,956,30,23,10.0,18.0,Sedan,24,45.067,19.0,19,0
FCFS,956,30,24,10.0,17.0,Sedan,24,39.144,17.0,19,0
FCFS,956,30,25,10.0,20.0,Small,16,53.881,16,4,0
FCFS,956,30,26,10.0,20.0,Small,16,44.79,16,19,0
FCFS,956,30,27,11.0,19.0,Sedan,24,73.372,24,8,0
FCFS,956,30,28,11.0,20.0,Small,16,53.008,16,4,0
FCFS,956,30,29,12.0,19.0,Sedan,24,51.774,22.0,8,0
FCFS,956,30,30,12.0,18.0,Small,16,29.103,11.0,19,0
FCFS,957,30,1,3.0,19.0,Truck,70,30.03,25.0,19,0
FCFS,957,30,2,3.0,20.0,Sedan,24,49.225,21.0,19,0
FCFS,957,30,3,5.0,17.0,SUV,54,29.975,17.0,19,0
FCFS,957,30,4,6.0,19.0,SUV,54,20.946,12.0,8,0
FCFS,957,30,5,6.0,21.0,Truck,70,36.394,30.0,19,0
FCFS,957,30,6,6.0,23.0,Sedan,24,33.164,14.0,19,0
FCFS,957,30,7,7.0,24.0,Small,16,24.866,9.0,8,0
FCFS,957,30,8,7.0,17.0,Small,16,25.616,10.0,8,0
FCFS,957,30,9,7.0,20.0,Small,16,45.047,16,8,0
FCFS,957,30,10,8.0,18.0,SUV,54,19.508,11.0,8,0
FCFS,957,30,11,8.0,18.0,Sedan,24,22.019,9.0,19,0
FCFS,957,30,12,8.0,19.0,Truck,70,35.759,29.0,19,0
FCFS,957,30,13,8.0,24.0,Sedan,24,36.519,16.0,8,0
FCFS,957,30,14,8.0,21.0,Small,16,20.033,8.0,8,0
FCFS,957,30,15,8.0,17.0,Sedan,24,34.089,15.0,19,0
FCFS,957,30,16,8.0,20.0,Small,16,26.52,10.0,8,0
FCFS,957,30,17,9.0,22.0,SUV,54,13.28,8.0,8,0
FCFS,957,30,18,9.0,20.0,SUV,54,58.182,33.0,19,0
FCFS,957,30,19,9.0,21.0,Small,16,17.261,7.0,19,0
FCFS,957,30,20,9.0,19.0,Sedan,24,65.458,24,8,0
FCFS,957,30,21,9.0,22.0,Small,16,54.202,16,8,0
FCFS,957,30,22,9.0,17.0,Sedan,24,56.263,24,19,0
FCFS,957,30,23,10.0,19.0,SUV,54,52.85,30.0,8,0
FCFS,957,30,24,10.0,18.0,Truck,70,38.731,32.0,19,0
FCFS,957,30,25,10.0,19.0,Sedan,24,52.816,23.0,8,0
FCFS,957,30,26,10.0,17.0,Sedan,24,51.344,22.0,19,0
FCFS,957,30,27,10.0,16.0,Small,16,50.818,16,8,0
FCFS,957,30,28,11.0,19.0,Sedan,24,60.11,24,19,0
FCFS,957,30,29,11.0,21.0,Small,16,46.916,16,8,0
FCFS,957,30,30,12.0,23.0,Small,16,41.633,16.0,8,0
FCFS,958,30,1,5.0,19.0,Sedan,24,30.0,13.0,8,0
FCFS,958,30,2,6.0,18.0,SUV,54,37.352,21.0,19,0
FCFS,958,30,3,6.0,17.0,Small,16,54.214,16,8,0
FCFS,958,30,4,7.0,20.0,Small,16,8.378,3.0,8,0
FCFS,958,30,5,7.0,19.0,Small,16,9.357,4.0,4,0
FCFS,958,30,6,7.0,23.0,Sedan,24,53.275,23.0,19,0
FCFS,958,30,7,7.0,19.0,Sedan,24,48.238,21.0,8,0
FCFS,958,30,8,7.0,17.0,Sedan,24,46.339,20.0,19,0
FCFS,958,30,9,7.0,21.0,Small,16,34.524,13.0,4,0
FCFS,958,30,10,8.0,17.0,SUV,54,21.526,12.0,19,0
FCFS,958,30,11,8.0,22.0,SUV,54,64.392,37.0,19,0
FCFS,958,30,12,8.0,19.0,Small,16,18.468,7.0,19,0
FCFS,958,30,13,8.0,23.0,Small,16,77.41,16,8,0
FCFS,958,30,14,9.0,20.0,Sedan,24,21.481,9.0,19,0
FCFS,958,30,15,9.0,21.0,Small,16,12.466,5.0,8,0
FCFS,958,30,16,9.0,17.0,SUV,54,46.534,27.0,19,0
FCFS,958,30,17,9.0,18.0,Sedan,24,29.914,13.0,8,0
FCFS,958,30,18,9.0,22.0,Small,16,27.025,10.0,8,0
FCFS,958,30,19,9.0,20.0,Small,16,30.116,11.0,4,0
FCFS,958,30,20,10.0,21.0,Sedan,24,50.659,22.0,19,0
FCFS,958,30,21,10.0,17.0,Sedan,24,47.584,20.0,19,0
FCFS,958,30,22,10.0,20.0,Small,16,33.134,13.0,8,0
FCFS,958,30,23,10.0,20.0,Small,16,43.902,16,19,0
FCFS,958,30,24,10.0,18.0,Small,16,59.842,16,8,0
FCFS,958,30,25,12.0,18.0,Truck,70,41.45,34.0,19,0
FCFS,958,30,26,12.0,20.0,Sedan,24,76.322,24,8,0
FCFS,958,30,27,12.0,19.0,Small,16,25.255,10.0,4,0
FCFS,958,30,28,13.0,21.0,SUV,54,15.455,9.0,19,0
FCFS,958,30,29,14.0,18.0,Small,16,74.792,16,8,0
FCFS,958,30,30,15.0,19.0,Sedan,24,55.305,24.0,19,0
FCFS,959,30,1,4.0,21.0,SUV,54,59.631,34.0,19,0
FCFS,959,30,2,6.0,19.0,SUV,54,20.079,12.0,19,0
FCFS,959,30,3,6.0,23.0,Sedan,24,34.635,15.0,19,0
FCFS,959,30,4,6.0,19.0,Sedan,24,31.108,13.0,19,0
FCFS,959,30,5,6.0,18.0,Sedan,24,37.133,16.0,19,0
FCFS,959,30,6,6.0,21.0,Small,16,51.408,16,19,0
FCFS,959,30,7,7.0,19.0,Sedan,24,13.191,6.0,4,0
FCFS,959,30,8,7.0,18.0,Small,16,10.712,4.0,8,0
FCFS,959,30,9,7.0,17.0,Truck,70,27.518,23.0,19,0
FCFS,959,30,10,8.0,23.0,Sedan,24,40.942,18.0,19,0
FCFS,959,30,11,8.0,22.0,Sedan,24,62.102,24,19,0
FCFS,959,30,12,9.0,18.0,SUV,54,23.902,14.0,19,0
FCFS,959,30,13,9.0,21.0,SUV,54,40.178,23.0,8,0
FCFS,959,30,14,9.0,20.0,SUV,54,42.543,24.0,19,0
FCFS,959,30,15,9.0,18.0,Small,16,9.665,4.0,4,0
FCFS,959,30,16,9.0,23.0,Sedan,24,39.632,17.0,19,0
FCFS,959,30,17,9.0,18.0,Truck,70,66.551,54.0,19,0
FCFS,959,30,18,9.0,19.0,Sedan,24,62.624,24,19,0
FCFS,959,30,19,9.0,18.0,Small,16,42.601,16,4,0
FCFS,959,30,20,10.0,20.0,Truck,70,36.115,30.0,19,0
FCFS,959,30,21,10.0,20.0,SUV,54,51.409,30.0,19,0
FCFS,959,30,22,10.0,19.0,SUV,54,55.679,32.0,19,0
FCFS,959,30,23,10.0,22.0,Small,16,49.613,16,8,0
FCFS,959,30,24,10.0,18.0,Small,16,45.618,16,19,0
FCFS,959,30,25,11.0,22.0,Sedan,24,33.683,14.0,4,0
FCFS,959,30,26,11.0,23.0,Small,16,17.636,7.0,19,0
FCFS,959,30,27,11.0,20.0,SUV,54,64.441,37.0,19,0
FCFS,959,30,28,12.0,22.0,Small,16,48.174,16,8,0
FCFS,959,30,29,12.0,18.0,Sedan,24,59.393,24,19,0
FCFS,959,30,30,13.0,19.0,SUV,54,34.855,20.0,19,0
FCFS,960,30,1,4.0,17.0,Small,16,35.808,14.0,19,0
FCFS,960,30,2,5.0,21.0,SUV,54,10.502,6.0,19,0
FCFS,960,30,3,6.0,23.0,Truck,70,38.249,31.0,19,0
FCFS,960,30,4,6.0,18.0,Sedan,24,31.805,14.0,8,0
FCFS,960,30,5,6.0,23.0,Truck,70,74.458,61.0,19,0
FCFS,960,30,6,7.0,17.0,Small,16,10.244,4.0,8,0
FCFS,960,30,7,7.0,22.0,Sedan,24,43.769,19.0,19,0
FCFS,960,30,8,7.0,20.0,Sedan,24,42.59,18.0,19,0
FCFS,960,30,9,7.0,21.0,Small,16,37.072,14.0,19,0
FCFS,960,30,10,7.0,18.0,Small,16,45.228,16,8,0
FCFS,960,30,11,8.0,18.0,Sedan,24,28.329,12.0,19,0
FCFS,960,30,12,8.0,20.0,Sedan,24,34.324,15.0,19,0
FCFS,960,30,13,8.0,20.0,Sedan,24,49.477,21.0,19,0
FCFS,960,30,14,8.0,20.0,Small,16,48.568,16,19,0
FCFS,960,30,15,8.0,18.0,Small,16,54.349,16,19,0
FCFS,960,30,16,9.0,20.0,Truck,70,9.335,8.0,8,0
FCFS,960,30,17,9.0,22.0,SUV,54,44.285,25.0,19,0
FCFS,960,30,18,9.0,18.0,Small,16,9.796,4.0,8,0
FCFS,960,30,19,9.0,19.0,Truck,70,39.884,33.0,19,0
FCFS,960,30,20,9.0,21.0,Truck,70,67.791,55.0,8,0
FCFS,960,30,21,10.0,19.0,SUV,54,26.549,15.0,19,0
FCFS,960,30,22,10.0,20.0,SUV,54,64.676,37.0,19,0
FCFS,960,30,23,10.0,16.0,SUV,54,40.874,23.0,19,0
FCFS,960,30,24,10.0,20.0,Sedan,24,50.997,22.0,19,0
FCFS,960,30,25,10.0,21.0,Small,16,51.886,16,19,0
FCFS,960,30,26,11.0,20.0,Truck,70,52.482,43.0,19,0
FCFS,960,30,27,11.0,20.0,Small,16,26.992,10.0,19,0
FCFS,960,30,28,11.0,20.0,Small,16,33.361,13.0,19,0
FCFS,960,30,29,12.0,20.0,Sedan,24,38.697,17.0,19,0
FCFS,960,30,30,13.0,21.0,Sedan,24,41.527,18.0,19,0
FCFS,961,30,1,2.0,24.0,Small,16,25.651,10.0,8,0
FCFS,961,30,2,4.0,19.0,Small,16,9.988,4.0,8,0
FCFS,961,30,3,5.0,19.0,Sedan,24,44.502,19.0,8,0
FCFS,961,30,4,6.0,22.0,Truck,70,12.435,10.0,8,0
FCFS,961,30,5,6.0,21.0,Truck,70,32.937,27.0,8,0
FCFS,961,30,6,6.0,20.0,SUV,54,64.667,37.0,19,0
FCFS,961,30,7,6.0,22.0,Sedan,24,69.061,24,8,0
FCFS,961,30,8,6.0,17.0,Small,16,25.461,10.0,8,0
FCFS,961,30,9,6.0,17.0,Small,16,52.762,16,8,0
FCFS,961,30,10,7.0,19.0,SUV,54,58.924,34.0,19,0
FCFS,961,30,11,7.0,19.0,Sedan,24,49.559,21.0,19,0
FCFS,961,30,12,7.0,19.0,Small,16,33.434,13.0,8,0
FCFS,961,30,13,8.0,18.0,Sedan,24,17.495,8.0,8,0
FCFS,961,30,14,8.0,19.0,Small,16,20.498,8.0,8,0
FCFS,961,30,15,8.0,20.0,Small,16,34.802,13.0,8,0
FCFS,961,30,16,8.0,21.0,Small,16,49.823,16,8,0
FCFS,961,30,17,8.0,17.0,Small,16,38.755,15.0,8,0
FCFS,961,30,18,9.0,23.0,SUV,54,31.513,18.0,19,0
FCFS,961,30,19,9.0,16.0,Small,16,17.56,7.0,8,0
FCFS,961,30,20,9.0,21.0,Small,16,42.5,16,8,0
FCFS,961,30,21,9.0,19.0,Small,16,38.386,15.0,8,0
FCFS,961,30,22,9.0,17.0,Small,16,33.704,13.0,8,0
FCFS,961,30,23,9.0,17.0,Small,16,45.966,16,8,0
FCFS,961,30,24,10.0,21.0,Sedan,24,32.945,14.0,19,0
FCFS,961,30,25,10.0,19.0,SUV,54,56.405,32.0,19,0
FCFS,961,30,26,10.0,19.0,Truck,70,44.204,36.0,8,0
FCFS,961,30,27,10.0,18.0,SUV,54,64.435,37.0,19,0
FCFS,961,30,28,10.0,22.0,Small,16,52.081,16,8,0
FCFS,961,30,29,11.0,18.0,Sedan,24,29.71,13.0,8,0
FCFS,961,30,30,13.0,18.0,Small,16,51.823,16,8,0
FCFS,962,30,1,4.0,17.0,Small,16,25.392,10.0,8,0
FCFS,962,30,2,6.0,18.0,Small,16,33.895,13.0,8,0
FCFS,962,30,3,8.0,19.0,SUV,54,18.961,11.0,19,0
FCFS,962,30,4,8.0,22.0,Small,16,8.742,3.0,4,0
FCFS,962,30,5,8.0,18.0,SUV,54,55.02,32.0,19,0
FCFS,962,30,6,8.0,23.0,Sedan,24,46.585,20.0,8,0
FCFS,962,30,7,8.0,22.0,Small,16,27.842,11.0,4,0
FCFS,962,30,8,8.0,18.0,Sedan,24,46.1,20.0,19,0
FCFS,962,30,9,8.0,19.0,Small,16,26.206,10.0,8,0
